label,verdict,verdict_encoded,input_type,inference_time_ms,threat_score,confidence,recommended_action,recommended_action_encoded,nlp_score,nlp_weight,nlp_source,nlp_source_encoded,top_phrase_count,tactic_count,tactic_urgency,tactic_authority_impersonation,tactic_financial_lure,tactic_credential_harvesting,tactic_suspicious_link,tactic_fear_threat,tactic_spoofing,tactic_reward_framing,tactic_bec_pattern,tactic_executive_impersonation,url_score,url_weight,url_count,shap_ip_as_host,shap_brand_impersonation,shap_auth_in_domain,shap_high_risk_tld,shap_newly_registered,shap_no_ssl,shap_url_length_long,shap_url_length_very_long,shap_subdomain_abuse,shap_high_entropy,shap_typosquatting,shap_brand_in_path,shap_suspicious_keywords,shap_hex_encoding,shap_at_symbol,shap_redirect_pattern,shap_exe_extension,shap_medium_risk_tld,shap_excessive_hyphens,shap_double_slash,shap_privacy_protected,shap_no_dns_record,shap_no_spf,shap_no_dmarc,shap_urlhaus_hit,url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at,num_question,num_equals,num_ampersand,num_percent,url_entropy,domain_entropy,subdomain_count,subdomain_length,path_depth,has_ip_address,is_https,is_http,tld_risk_high,tld_risk_medium,brand_in_domain,brand_in_path,is_legitimate_host,typosquatting_score,suspicious_path_kw,suspicious_domain_kw,has_exe_extension,has_file_extension,has_hex_encoding,double_slash_in_path,has_at_symbol,redirects_in_url,domain_has_numbers,domain_has_hyphens,header_score,header_weight,header_flag_count,spf_result_raw,dkim_result_raw,dmarc_result_raw,spf_result,dkim_result,dmarc_result,flag_spf_fail,flag_dkim_fail,flag_dkim_missing,flag_dmarc_fail,flag_reply_to_mismatch,flag_return_path_mismatch,flag_bulk_mailer,flag_missing_message_id,flag_missing_date,flag_excessive_hops,has_known_campaign,actor_confidence,related_domains_count,ti_malicious_domain_count,ti_feed_source_count,ti_global_reach_count,ioc_risk_boost,ioc_malicious_domain_count,ioc_malicious_ip_count,ioc_threat_family_count,ioc_source_count,dark_web_risk_raw,dark_web_risk,dark_web_breach_count,dark_web_total_exposed,dark_web_source_count,kill_chain_active_stages,kill_chain_overall_risk,kill_chain_attack_vector,kill_chain_attack_vector_encoded,kill_chain_is_brand_impersonation,kill_chain_initial_access_risk,kill_chain_credential_risk,kill_chain_financial_risk,kill_chain_lateral_risk,kill_chain_impact_level,kill_chain_impact_level_raw
1,SUSPICIOUS,1,email,11330,0.3135,0.6505,flag_for_review,1,0.4735,0.35,unknown,-1,4,2,0.0,0.0,0.0,0,0.95,0,0.0,0.95,0,0,0.3234,0.28,1,0,0,0,0,0,0.1,0,0,0,0.06,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,40,18,1,13,1,0,0,3,0,1,0,0,0,4.4342,3.3788,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.314,Email-based Phishing,0,0,0.3135,0.188,0.125,0.219,0,LOW
0,SAFE,0,email,9812,0.1204,0.5578,monitor,0,0.0551,0.35,unknown,-1,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.21,0.28,1,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.05,0.0,0,41,20,14,0,2,0,0,4,0,0,0,0,0,4.4915,2.914,1,5,2,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,2,unknown,none,none,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.12,Email-based Phishing,0,0,0.1204,0.072,0.048,0.084,0,LOW
1,SUSPICIOUS,1,email,8591,0.3912,0.6878,flag_for_review,1,0.506,0.35,unknown,-1,5,2,0.0,0.0,0.0,0,0.99,0,0.0,0.99,0,0,0.513,0.28,3,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,27,20,0,0,2,1,0,2,0,0,0,0,0,4.3104,2.0,2,15,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.391,Email-based Phishing,0,0,0.3912,0.235,0.156,0.274,1,MEDIUM
1,SUSPICIOUS,1,email,9893,0.545,0.7616,flag_for_review,1,0.9725,0.35,unknown,-1,5,2,0.0,0.0,0.0,0,0.99,0,0.0,0.99,0,0,0.2204,0.28,1,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,16,9,0,0,1,0,0,2,0,0,0,0,0,3.3278,2.3219,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.545,Email-based Phishing,0,0,0.545,0.327,0.218,0.382,1,MEDIUM
1,SAFE,0,email,7236,0.2063,0.599,monitor,0,0.3675,0.35,unknown,-1,4,2,0.0,0.0,0.0,0,0.8,0,0.8,0.0,0,0,0.05,0.28,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,UNKNOWN,0,0,0,0,1,0.206,Sender Spoofing,2,0,0.2063,0.124,0.083,0.144,0,LOW
1,SUSPICIOUS,1,email,6976,0.425,0.704,flag_for_review,1,0.7699,0.35,unknown,-1,4,2,0.0,0.0,0.0,0,0.8,0,0.8,0.0,0,0,0.05,0.28,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,UNKNOWN,0,0,0,0,1,0.425,Sender Spoofing,2,0,0.425,0.255,0.17,0.297,1,MEDIUM
1,SUSPICIOUS,1,email,9608,0.4976,0.7388,flag_for_review,1,0.5188,0.35,unknown,-1,4,3,0.0,0.0,0.95,0,0.95,0,0.95,0.0,0,0,0.513,0.28,4,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,27,20,0,0,2,1,0,2,0,0,0,0,0,4.3104,2.0,2,15,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,3,1,1,0,0.1,1,0,0,1,LOW,1,0,0,0,1,0.498,Sender Spoofing,2,0,0.4976,0.299,0.199,0.348,1,MEDIUM
1,SUSPICIOUS,1,email,8804,0.3946,0.6894,flag_for_review,1,0.5228,0.35,unknown,-1,1,2,0.0,0.0,0.0,0,0.95,0,0.95,0.0,0,0,0.513,0.28,1,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,27,20,0,0,2,1,0,2,0,0,0,0,0,4.3104,2.0,2,15,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.395,Sender Spoofing,2,0,0.3946,0.237,0.158,0.276,1,MEDIUM
1,SUSPICIOUS,1,email,9030,0.5208,0.75,flag_for_review,1,0.8074,0.35,unknown,-1,3,3,0.0,0.0,0.85,0,0.85,0,0.0,0.85,0,0,0.513,0.28,2,0,0,0,0,0,0.1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.12,0.05,0.04,0,27,20,0,0,2,1,0,2,0,0,0,0,0,4.3104,2.0,2,15,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,1,unknown,none,none,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.521,Email-based Phishing,0,0,0.5208,0.312,0.208,0.365,1,MEDIUM
0,SAFE,0,email,8670,0.1642,0.5788,monitor,0,0.0828,0.35,unknown,-1,3,1,0.0,0.0,0.0,0,0.0,0,0.65,0.0,0,0,0.315,0.28,5,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.04,0,44,12,24,0,2,1,0,5,0,0,0,0,0,4.0017,2.0,1,4,3,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,2,unknown,none,none,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,3,0,0,0,0.0,0,0,0,0,LOW,1,0,0,0,1,0.164,Sender Spoofing,2,0,0.1642,0.099,0.066,0.115,0,LOW
